Time,Index,Battery,Mag_X[uT],Mag_Y[uT],Mag_Z[uT],Acc_X[G],Acc_Y[G],Acc_Z[G],UV INDEX,AmbientLight[Lx],Humidity[%RH],Temperature[degC],Pressure[hPa]
2023/06/19 18:21:30.457,241,2.94,-17.6,38.3,-12.8,0.076,0.973,-0.029,0.2,18.6,68.13,24.58,992.76
2023/06/19 18:21:31.457,242,2.94,-18.3,38.7,-11.7,0.076,0.972,-0.029,0.3,17.3,68.16,24.54,992.76
2023/06/19 18:21:32.457,243,2.94,-17.9,37.6,-11.7,0.075,0.972,-0.029,0.0,17.7,68.16,24.58,992.76
2023/06/19 18:21:33.457,244,2.94,-19.0,39.1,-13.6,0.076,0.972,-0.029,0.1,19.7,68.07,24.58,992.76
2023/06/19 18:21:34.457,245,2.94,-18.6,37.9,-11.7,0.076,0.972,-0.029,0.1,20.4,68.13,24.54,992.76
2023/06/19 18:21:35.457,246,2.94,-18.6,37.6,-15.1,0.075,0.973,-0.030,0.3,20.1,68.12,24.52,992.83
2023/06/19 18:21:36.457,247,2.94,-19.8,38.3,-13.2,0.076,0.973,-0.029,0.2,18.5,68.13,24.51,992.78
2023/06/19 18:21:37.457,248,2.94,-17.9,37.2,-12.8,0.076,0.973,-0.030,0.4,17.8,68.17,24.54,992.78
2023/06/19 18:21:38.457,249,2.94,-18.6,36.8,-11.7,0.076,0.974,-0.029,0.3,20.1,68.15,24.58,992.70
2023/06/19 18:21:39.457,250,2.94,-19.8,37.9,-14.7,0.076,0.972,-0.030,0.2,20.1,68.13,24.60,992.76
2023/06/19 18:21:40.457,251,2.94,-18.6,38.3,-12.1,0.076,0.972,-0.029,0.2,20.6,68.10,24.56,992.76
2023/06/19 18:21:41.457,252,2.94,-19.0,36.8,-14.7,0.076,0.972,-0.030,0.0,20.6,68.09,24.54,992.70
2023/06/19 18:21:42.457,253,2.94,-18.3,39.4,-12.4,0.075,0.972,-0.029,0.1,17.3,68.15,24.52,992.76
2023/06/19 18:21:43.457,254,2.94,-19.0,37.9,-9.4,0.075,0.973,-0.029,0.4,20.6,68.12,24.56,992.81
2023/06/19 18:21:44.457,255,2.94,-18.6,37.6,-10.9,0.075,0.972,-0.029,0.1,18.3,68.12,24.56,992.78
2023/06/19 18:21:45.457,0,2.94,-17.9,38.3,-12.4,0.076,0.973,-0.030,0.0,17.0,68.10,24.54,992.70
2023/06/19 18:21:46.457,1,2.94,-19.0,38.7,-11.7,0.075,0.972,-0.030,0.2,18.6,68.16,24.58,992.78
2023/06/19 18:21:47.457,2,2.94,-18.3,37.6,-11.3,0.076,0.973,-0.028,0.2,18.9,68.13,24.54,992.76
2023/06/19 18:21:48.457,3,2.94,-18.3,37.2,-15.1,0.075,0.972,-0.029,0.1,18.6,68.06,24.56,992.78
2023/06/19 18:21:49.457,4,2.94,-17.9,38.3,-15.1,0.076,0.973,-0.029,0.2,19.7,68.12,24.54,992.76
2023/06/19 18:21:50.457,5,2.94,-17.2,37.9,-10.9,0.076,0.973,-0.030,0.2,20.1,68.14,24.54,992.78
2023/06/19 18:21:51.457,6,2.94,-17.9,38.3,-10.1,0.076,0.972,-0.028,0.1,18.2,68.12,24.54,992.81
2023/06/19 18:21:52.457,7,2.94,-20.5,37.9,-11.7,0.075,0.972,-0.029,0.6,21.9,68.10,24.58,992.78
2023/06/19 18:21:53.457,8,2.94,-17.2,37.2,-10.9,0.075,0.972,-0.029,0.2,18.5,68.09,24.58,992.76
2023/06/19 18:21:54.457,9,2.94,-17.9,38.3,-10.9,0.075,0.972,-0.029,0.2,18.7,68.10,24.56,992.76
2023/06/19 18:21:55.457,10,2.94,-17.2,39.0,-13.6,0.075,0.973,-0.029,0.4,19.6,68.20,24.62,992.78
